Activity,Country,Implementing_agency,Sector,Funding_ac,Transaction_type,Fiscal_year,Current_amount
Humanitarian Assistance - Ebola Response Activities,West Africa Region,Department of Defense,Basic Health,"Department of Defense, Overseas Humanitarian, Disaster, and Civic Aid",Obligations,2015,427003000
Humanitarian Assistance - Ebola Response Activities,West Africa Region,Department of Defense,Basic Health,"Department of Defense, Overseas Humanitarian, Disaster, and Civic Aid",Disbursements,2015,267296000
Emergency Appeals,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2006,72823366
Disaster Relief,East Asia and Oceania Region,Department of Defense,Emergency Response,"Department of Defense, Overseas Humanitarian, Disaster, and Civic Aid",Obligations,2005,67588000
Disaster Relief,East Asia and Oceania Region,Department of Defense,Emergency Response,"Department of Defense, Overseas Humanitarian, Disaster, and Civic Aid",Disbursements,2005,50436000
Humanitarian Assistance - Ebola Response Activities,West Africa Region,Department of Defense,Basic Health,"Department of Defense, Overseas Humanitarian, Disaster, and Civic Aid",Disbursements,2016,50203000
European Training Initiative (ETI),Europe Region,Department of Defense,"Conflict, Peace, and Security","Department of Defense, European Reassurance Initiative",Obligations,2016,50000000
U.S. Department of State: Nonproliferation Assistance Programs - Nonproliferation and Disarmament Fund,Middle East Region,Department of State,"Conflict, Peace, and Security","Nonproliferation, Anti-Terrorism, Demining and Related Programs",Obligations,2010,39668138
Department of State - Peacekeeping Operations: Multinational Force and Observers (MFO),Middle East Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Obligations,2014,36000000
ANNUAL PROGRAM/GLOBAL APPEAL,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2002,35585296
Global Emergency Appeal - 1st Tranche,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2016,35344463
ANNUAL PROGRAM,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2001,35100000
Emergency Appeals,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2005,33100000
An initial contribution for UNHCR's programs worldwide as well as at headquarters.,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2001,33000000
Europe Annual Budget,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2014,30000000
Europe Annual Budget Activities,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2016,28840000
Annual Budget Activities,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2015,28800000
Department of State - Peacekeeping Operations: Multinational Force and Observers (MFO),Middle East Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Obligations,2012,28000000
Department of State - Peacekeeping Operations: Multinational Force and Observers (MFO),Middle East Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Disbursements,2012,28000000
Department of State - Peacekeeping Operations: Multinational Force and Observers (MFO),Middle East Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Disbursements,2014,28000000
Department of State - Peacekeeping Operations: Multinational Force and Observers (MFO),Middle East Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Obligations,2009,27000000
Contribution Towards United Nations High Commissioner for Refugees (UNHCR)'s Europe Annual Budget Activities  Europe Regional,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Obligations,2015,26600000
Department of State - Peacekeeping Operations: Multinational Force and Observers (MFO),Middle East Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Obligations,2013,26593000
Department of State - Peacekeeping Operations: Multinational Force and Observers (MFO),Middle East Region,Department of State,"Conflict, Peace, and Security",Peace Keeping Operations,Disbursements,2013,26593000
2015 First Tranche,Europe Region,Department of State,Emergency Response,"Department of  State, Migration and Refugee Assistance",Disbursements,2015,26200000
